# Annual region-averaged outputs (area*landfrac weighted)
# Case: 20260422_coastal_LA_ICB20TRCNPRDCTCBC_baseline
# Years: 1850 - 2024
#
# Variables:
#   GPP: gross primary production (annual sum, gC/m2/yr)
#   NPP: net primary production (annual sum, gC/m2/yr)
#   ER: total ecosystem respiration, autotrophic + heterotrophic (annual sum, gC/m2/yr)
#   NEE: net ecosystem exchange of carbon, includes fire, landuse, harvest, and hrv_xsmrpool flux, positive for source (annual sum, gC/m2/yr)
#   NBP: net biome production, includes fire, landuse, and harvest flux, positive for sink (annual sum, gC/m2/yr)
#   NEP: net ecosystem production, excludes fire, landuse, and harvest flux, positive for sink (annual sum, gC/m2/yr)
#   HR: total heterotrophic respiration (annual sum, gC/m2/yr)
#   FSH: sensible heat (annual mean, W/m^2)
#   EFLX_LH_TOT: total latent heat flux [+ to atm] (annual mean, W/m^2)
#   FPSN: photosynthesis (annual mean, umol/m2s)
#   TOTSOMC: total soil organic matter carbon (annual mean, gC/m^2)
#   TOTVEGC: total vegetation carbon, excluding cpool (annual mean, gC/m^2)
#   TOTECOSYSC: total ecosystem carbon, incl veg but excl cpool but excl product pools (annual mean, gC/m^2)
#
Year	GPP	NPP	ER	NEE	NBP	NEP	HR	FSH	EFLX_LH_TOT	FPSN	TOTSOMC	TOTVEGC	TOTECOSYSC
1896	171.686799	85.757595	172.429160	4.149616	-4.326487	-0.560452	86.499956	20.163992	34.264626	39162.000931	5664.092327	1296.996371	7576.221604
1897	176.762290	87.980103	182.180783	9.194041	-9.932120	-5.776117	93.398596	24.631345	34.048494	40319.727385	5663.176741	1294.002020	7565.589676
1898	172.770818	86.091070	174.581132	7.866777	-8.124696	-1.590317	87.901384	19.703095	34.576339	39409.266968	5662.205406	1286.809252	7562.210668
1899	172.608493	86.313602	169.914948	1.549889	-1.411467	3.310973	83.620057	20.460377	33.156625	39372.240469	5662.447155	1279.441439	7558.085045
1900	165.803800	82.499271	164.036467	1.799989	-1.882716	2.102467	80.731938	25.918109	34.931983	37820.080420	5663.603361	1271.550064	7555.546637
1901	176.064974	88.533065	175.090207	3.333004	-3.629671	1.166426	87.558299	18.485388	36.154652	40160.668635	5664.718354	1265.863182	7553.059881
1902	168.615966	84.856200	167.539050	2.780024	-3.198504	1.118806	83.779284	22.914471	36.528455	38461.539461	5665.910596	1258.751507	7550.136243
1903	165.056001	82.104448	171.339449	10.253096	-11.266646	-6.819530	88.387897	18.769572	34.122958	37649.506373	5666.134041	1251.462437	7541.682039
1904	167.349519	83.312742	169.078502	8.615193	-9.444513	-1.969944	85.041724	17.894757	35.617873	38172.661108	5666.030234	1240.201072	7533.978842
1905	177.131718	90.095919	177.386713	5.022664	-5.514837	-0.212381	90.350914	19.569828	36.454854	40403.994594	5662.848789	1237.370849	7521.854902
1906	184.277366	94.721998	181.609287	1.880869	-2.061578	3.029038	92.053919	18.944707	36.251319	42033.926871	5660.008718	1238.598245	7520.378144
1907	172.999211	87.742200	169.031879	0.685929	-0.900779	4.312669	83.774868	19.878485	35.638868	39461.363792	5660.538932	1233.745535	7521.992019
1908	175.609896	87.427835	180.157999	9.322440	-10.289738	-4.935880	91.975938	19.676925	35.212785	40056.864757	5660.015008	1229.984404	7514.207859
1909	179.391261	89.248855	177.199014	3.976119	-4.242754	2.597562	87.056608	17.509320	34.972996	40919.399336	5656.457251	1229.529326	7508.089499
1910	187.152151	94.319511	186.247806	7.439507	-7.724759	1.313480	93.415165	19.832786	35.277633	42689.669464	5654.211579	1223.385600	7500.294015
1911	170.929665	85.675960	172.481909	7.052317	-8.003580	-1.849658	87.228203	19.923581	34.921117	38989.297575	5655.727367	1208.949032	7497.061710
1912	164.835795	81.065936	165.202472	5.955311	-6.749040	-0.490450	81.432613	24.598819	35.243747	37599.277141	5657.731000	1199.114087	7491.024992
1913	169.212877	83.584909	174.432882	10.915131	-12.314849	-5.931886	88.804914	18.076586	33.623185	38597.695834	5658.067927	1190.190224	7481.664635
1914	178.741812	90.254061	176.969999	4.038739	-4.680920	1.837074	88.482247	19.206569	35.848165	40771.259355	5654.242812	1189.227916	7470.003821
1915	179.085488	90.775280	174.840977	1.677130	-1.957618	4.690157	86.530769	17.733542	34.037289	40849.652218	5652.427315	1186.271162	7469.299466
1916	169.508605	84.744083	171.320828	7.972593	-8.826147	-1.915240	86.556306	20.450354	33.847922	38665.151718	5653.659083	1176.073675	7465.670905
1917	173.570717	86.246461	179.393646	17.341489	-18.753823	-6.284114	92.069390	24.942098	33.635910	39591.725149	5652.300201	1165.433288	7449.222949
1918	166.770175	82.663975	171.584675	11.464926	-12.634848	-5.195757	87.478475	20.045639	34.038840	38040.511901	5651.426227	1150.613340	7439.770778
1919	167.910183	83.475534	166.687517	5.455641	-5.954442	1.528278	82.252867	20.835093	32.688903	38300.549512	5650.965563	1142.712964	7431.692222
1920	163.020694	80.957563	161.157659	5.190437	-5.641804	2.238920	79.094529	26.150883	34.589783	37185.249856	5651.201351	1132.586926	7425.735729
1921	168.185365	84.297619	169.303518	7.960986	-8.671658	-0.997789	85.415772	20.556199	32.193720	38363.318854	5651.748960	1123.369296	7418.966621
1922	166.073204	83.534113	163.853299	4.689438	-4.941576	2.805577	81.314207	22.954398	37.686140	37881.531992	5652.082440	1115.218578	7412.812771
1923	162.203783	80.973465	164.539437	9.294481	-10.475898	-2.668693	83.309118	18.284926	37.327172	36998.911472	5652.857023	1104.790815	7405.084449
1924	162.840070	81.256672	167.197823	11.361989	-12.773259	-4.916330	85.614425	19.915616	35.248719	37144.049476	5652.962306	1095.135363	7395.770552
1925	164.273007	82.176310	163.291639	6.053846	-6.947534	0.943844	81.194941	18.235854	36.226646	37470.904396	5652.012145	1088.215927	7386.607877
1926	165.813062	83.209794	162.456120	3.693972	-4.266169	3.645451	79.852852	20.876831	38.442093	37822.193124	5651.061550	1083.411933	7382.196337
1927	161.876191	80.769705	167.672310	15.380890	-16.815292	-6.268527	86.565824	19.011751	36.308825	36924.187212	5649.280541	1075.316911	7370.390048
1928	159.864572	79.069134	157.373889	4.752084	-5.247734	2.862377	76.578451	19.363537	34.209243	36465.334141	5647.733695	1066.027324	7361.844221
1929	172.873135	86.488852	174.522890	8.838559	-9.722051	-1.665701	88.138607	14.558855	36.353866	39432.605712	5644.976700	1063.491744	7351.511257
1930	180.741429	92.609727	177.136341	3.527138	-3.825966	4.167282	89.004639	21.084902	32.994431	41227.374573	5642.176200	1064.664872	7348.005405
1931	186.563868	95.836277	180.577443	1.360866	-1.452495	6.826737	89.849853	17.974528	34.688772	42555.481104	5637.999689	1072.211450	7344.628570
1932	174.405494	88.040368	167.942220	0.513245	-0.683254	7.142684	81.577095	23.069211	37.785054	39782.138984	5638.222977	1067.676688	7345.774430
1933	166.695873	81.632484	176.076870	16.278595	-18.203580	-10.465361	91.013480	18.985642	33.340679	38023.563574	5639.701382	1058.202381	7336.489139
1934	173.696354	85.236308	169.287013	2.412994	-2.783505	4.872148	80.826967	19.751434	36.075261	39620.383228	5638.908866	1054.586996	7329.362158
1935	177.408354	88.525724	172.054609	1.392363	-1.759003	5.815340	83.171978	17.420671	38.269252	40467.095782	5638.851932	1051.467358	7326.644721
1936	183.482791	92.523380	179.592465	3.087187	-3.528939	4.283179	88.633053	17.318124	36.862323	41852.683316	5636.712890	1054.703489	7322.199238
1937	178.259094	89.186283	171.983392	0.342644	-0.588299	6.845515	82.910581	14.978527	37.883518	40661.150658	5636.839089	1052.080414	7323.321322
1938	177.149731	87.321908	179.099286	8.482146	-9.425674	-2.086448	89.271462	17.712062	35.105099	40408.103401	5635.036333	1053.167920	7315.137302
1939	187.050592	92.619574	182.238760	1.639360	-1.805620	5.439372	87.807742	19.142461	35.232649	42666.503719	5631.150329	1055.864180	7309.109890
1940	185.771191	92.459315	179.808829	0.402515	-0.486016	6.666417	86.496953	18.416926	34.204235	42374.670390	5631.115474	1055.062968	7312.295021
1941	193.856526	97.195310	186.112966	-1.456135	1.557438	8.626666	89.451750	17.467355	34.459292	44218.946778	5628.791012	1061.975915	7309.305863
1942	193.517931	97.832737	187.051331	-0.240906	0.045092	7.044220	91.366138	20.384590	36.178418	44141.712761	5627.527318	1064.206243	7309.100196
1943	165.655500	80.098311	159.201869	0.519094	-0.588982	7.221971	73.644679	20.077690	37.972074	37786.253052	5629.112275	1058.392013	7313.057057
1944	153.878108	71.328130	165.923825	18.210454	-20.233697	-13.309313	83.373847	21.264694	37.724062	35099.813230	5633.599715	1039.969975	7303.889424
1945	171.141168	83.056996	165.867330	0.833053	-0.955118	5.900674	77.783159	24.052063	36.408534	39037.541576	5635.317991	1032.250803	7294.715027
1946	163.997971	81.024206	165.510443	7.551405	-8.461835	-1.679563	82.536678	20.850185	34.411048	37408.168399	5636.386100	1025.297225	7290.048624
1947	159.237278	78.858253	161.023920	7.756267	-8.685555	-1.982577	80.644894	19.215766	33.453222	36322.247691	5637.841741	1016.266168	7282.762156
1948	184.260696	94.714936	181.117443	2.771881	-3.140554	3.500262	91.571683	19.346718	33.257491	42030.124421	5634.916557	1019.826874	7273.859793
1949	171.323850	87.343969	165.698366	-0.124483	0.279911	6.340426	81.718485	15.230919	34.492037	39079.211612	5631.274632	1029.481951	7275.583985
1950	171.665228	84.806535	171.373688	4.327845	-4.601285	0.487287	84.514995	16.218802	37.064564	39157.080409	5628.786024	1037.040619	7271.334842
1951	175.589870	86.007015	178.112155	6.433567	-6.762196	-2.453957	88.529300	19.165775	30.907823	40052.296755	5625.383727	1043.833291	7265.602826
1952	165.718998	80.926320	165.040722	2.663569	-2.937207	0.743518	80.248044	16.826756	33.451182	37800.736940	5623.363898	1047.013200	7263.132616
1953	179.783693	89.634338	181.050328	4.273064	-4.788116	-1.433713	90.900973	13.692830	31.424007	41008.913870	5620.775529	1052.244882	7257.526356
1954	186.231698	95.804892	176.462032	-6.296106	6.931887	10.882345	86.035227	20.331453	30.058495	42479.712703	5615.484732	1063.405145	7258.616388
1955	166.411807	82.644115	173.445799	10.488202	-11.623677	-7.706064	89.678107	15.896689	34.276183	37958.767769	5613.522355	1060.090149	7256.144083
1956	163.149088	78.659658	164.391607	5.032493	-5.738894	-1.455314	79.902177	21.978401	31.667655	37214.536896	5613.171435	1050.364230	7249.842962
1957	166.692970	82.389181	162.778313	0.124719	-0.306527	4.248464	78.474524	14.639864	32.538369	38022.901435	5613.410319	1044.573401	7248.719061
1958	167.393080	84.499579	166.536671	3.351207	-3.769490	0.964436	83.643170	16.013386	32.576593	38182.597489	5611.414905	1044.185566	7243.212120
1959	168.608880	84.923194	168.033352	3.727557	-4.135154	0.698360	84.347666	13.944640	31.603030	38459.923158	5609.337590	1044.059057	7242.497103
1960	170.058505	86.369702	162.961785	-2.757331	3.017341	7.887130	79.272983	22.715967	32.100755	38790.584543	5605.895812	1046.354003	7236.878368
1961	182.813004	93.826994	171.684863	-6.223286	6.990126	12.435939	82.698854	19.532634	32.402509	41699.903725	5604.935657	1051.533801	7245.402600
1962	200.407565	104.636013	176.751018	-19.260077	21.389411	26.311585	80.979466	18.446785	34.843904	45713.248026	5603.938366	1065.749136	7258.352538
1963	187.359040	97.001378	180.126047	-2.636877	2.794858	7.919024	89.768385	25.174091	35.358802	42736.861063	5604.806784	1072.906919	7267.451922
1964	165.888028	81.585075	165.546633	6.417324	-6.960037	0.399944	81.243680	16.671219	36.223938	37839.292934	5604.283073	1072.169813	7264.915106
1965	171.851651	83.116700	172.443036	5.328254	-5.934604	-0.636509	83.708085	20.150733	31.232432	39199.603885	5605.677323	1063.425583	7263.974931
1966	178.405034	88.299969	171.422871	-2.233253	2.284016	7.580649	81.317805	21.631685	35.486692	40694.439743	5606.026218	1063.633190	7261.600117
1967	198.942739	101.501834	185.665304	-8.818384	9.718511	14.720809	88.224399	16.188368	39.918973	45379.119169	5604.700054	1073.159599	7268.004218
1968	177.855377	90.480526	164.928764	-8.152243	8.987929	14.322738	77.553913	18.429481	33.989182	40569.062079	5603.625871	1079.551405	7273.559144
1969	179.677790	87.557734	184.267211	9.305541	-10.208912	-4.885251	92.147154	15.456224	39.041741	40984.757123	5603.251129	1079.263594	7272.004892
1970	192.236260	95.011905	184.601674	-3.098143	3.521638	8.622036	87.377318	18.654111	33.502283	43849.361946	5599.090468	1086.711102	7269.724390
1971	156.062037	74.796120	160.574657	9.069212	-10.353373	-5.226882	79.308741	17.326888	33.126251	35597.970478	5601.448238	1073.949528	7270.931410
1972	168.583768	81.755293	169.800678	5.792910	-6.526544	-1.382564	82.972203	21.506937	34.142251	38454.195084	5602.735070	1064.182783	7257.599235
1973	170.118109	84.036818	168.265389	3.041371	-3.436805	2.037299	82.184098	17.733094	35.941296	38804.180493	5601.788441	1062.166015	7257.227637
1974	174.365591	87.319508	172.922677	9.373466	-10.331220	1.596876	85.876594	22.128395	32.851084	39773.037167	5599.729766	1057.859677	7249.747589
1975	183.832658	94.817266	176.606113	-2.168113	2.423684	8.084910	87.590721	20.906594	32.209275	41932.488447	5596.548238	1057.083621	7244.934231
1976	169.091443	86.333573	164.741732	0.557138	-0.595993	4.903064	81.983862	14.384799	31.058324	38569.996368	5594.472406	1058.902219	7242.632683
1977	184.335031	92.788036	176.952947	-2.552034	2.806594	8.224935	85.405952	14.649153	33.586776	42047.080422	5592.673377	1062.106028	7243.082121
1978	188.086211	95.405025	175.995921	-7.283325	8.203774	13.612817	83.314735	16.896003	35.759459	42902.729866	5592.615708	1068.507316	7253.631978
1979	199.735777	102.048236	186.997223	-7.575419	8.555393	14.342615	89.309682	15.174919	39.257138	45560.012153	5591.419992	1077.973515	7257.521610
1980	174.426555	87.395374	165.417620	-3.957893	4.448492	10.122532	78.386438	15.750094	37.352045	39786.943078	5592.201935	1081.753890	7270.548131
1981	197.541151	99.331897	177.599393	-15.025833	16.531396	22.059162	79.390139	22.557530	34.571333	45059.414849	5594.658777	1085.102156	7276.910442
1982	193.723675	97.321720	184.368634	-4.127658	4.518282	10.440982	87.966678	19.622488	40.018085	44188.643413	5594.905634	1094.188218	7284.009746
1983	200.626484	100.858068	186.051180	-9.652336	10.687067	16.234922	86.282764	13.776555	39.118285	45763.183722	5595.218196	1099.764363	7291.657377
1984	201.802011	99.780806	193.635443	-3.184479	3.225295	8.850593	91.614238	18.070347	36.115463	46031.323132	5598.141563	1100.523514	7299.507913
1985	177.841816	85.234835	181.238520	8.445397	-9.623423	-3.925238	88.631540	21.303360	34.159437	40565.968761	5600.734966	1096.905128	7297.907667
1986	192.481275	92.476141	185.554153	-1.629307	1.697366	7.666335	85.549019	20.125338	35.064778	43905.250108	5600.038061	1096.111453	7293.475385
1987	197.357759	97.866054	187.816084	-4.349724	4.553343	10.414692	88.324379	15.389386	38.154438	45017.582963	5597.107320	1102.371424	7293.835940
1988	201.589275	100.740802	189.619169	-6.727752	7.291933	13.207046	88.770696	14.565594	35.416029	45982.797880	5594.938368	1109.786285	7298.608437
1989	222.135702	112.158714	201.944295	-14.651376	15.935392	22.225134	91.967308	19.614514	37.817635	50669.466582	5595.059231	1118.350124	7309.518290
1990	218.729881	110.969588	204.725671	-8.637726	9.443375	15.525029	96.965378	17.474570	37.248602	49892.594210	5595.815988	1131.192231	7323.170988
1991	190.301989	92.220558	183.042059	-1.726137	1.888343	8.147247	84.960629	16.445541	39.832793	43408.151797	5598.143666	1132.225196	7332.456680
1992	202.345137	97.927117	190.047953	-6.609523	7.453868	13.872433	85.629933	15.085894	38.441785	46155.210938	5596.820069	1135.946792	7330.403386
1993	214.411549	105.185822	200.706637	-7.882750	8.693503	15.262572	91.480909	14.414243	41.001025	48907.576635	5596.869345	1137.486945	7335.927643
1994	190.244346	91.580032	184.559740	0.276183	-0.412244	6.327677	85.895427	16.445593	36.843898	43395.003358	5601.251585	1132.053426	7348.198679
1995	200.270575	96.044323	197.484660	3.345154	-4.153248	2.779121	93.258409	18.618912	33.799281	45682.000330	5607.093426	1122.276631	7343.748394
1996	201.203221	98.500382	196.506288	1.609735	-2.096345	5.028819	93.803449	17.036180	40.773481	45894.738361	5609.453319	1115.391635	7339.112573
1997	193.661628	95.152567	185.580300	-1.407813	1.366765	8.891576	87.071239	17.201678	40.006525	44174.490257	5612.347119	1109.240335	7341.584484
1998	196.653677	96.533716	194.313727	4.317005	-4.911761	2.609985	94.193766	13.559413	37.102054	44856.980957	5612.256776	1108.777592	7336.174816
1999	199.358888	97.853505	190.921466	-1.565336	1.586088	9.350129	89.416082	14.913822	35.479796	45474.043381	5608.720823	1111.827902	7333.865911
2000	214.133858	105.237479	200.280131	-6.908235	7.621017	15.427284	91.383752	13.288285	37.915627	48844.234869	5608.374942	1115.516200	7342.030701
2001	223.720761	112.380388	208.703184	-7.775629	8.564986	16.695976	97.362811	17.236693	36.923698	51031.020917	5608.768045	1124.049951	7348.435005
2002	221.688200	110.718466	206.103044	-8.728738	9.649357	17.393369	95.133310	13.888044	35.601365	50567.390778	5608.981023	1131.402411	7355.678674
2003	216.264000	106.063530	206.881040	-2.439911	2.852245	10.693051	96.680570	12.910587	39.761288	49330.123187	5610.003485	1133.468170	7359.887139
2004	214.004181	103.789256	204.382210	-2.553382	2.587971	10.586736	94.167286	13.798371	40.003862	48814.655143	5610.749709	1133.973580	7362.592515
2005	209.166054	100.815113	197.190111	-2.878526	2.805856	13.110412	88.839169	18.872599	40.905644	47711.071678	5613.717150	1127.957276	7368.724843
2006	208.131000	100.310426	199.908996	-0.932107	0.877793	9.057796	92.088422	19.523438	33.938361	47474.974470	5615.567245	1128.796987	7369.110197
2007	212.076053	101.884030	198.980342	-6.352132	6.860945	14.434731	88.788319	16.260060	33.897642	48374.846618	5614.923991	1137.621588	7372.723070
2008	223.580153	109.515356	206.861328	-10.223359	11.226166	18.637265	92.796531	17.358233	32.197571	50998.947972	5615.914149	1144.225723	7381.814581
2009	219.339578	109.285137	206.633309	-5.699718	6.078924	13.988984	96.578868	19.217283	34.521045	50031.666819	5620.132086	1141.792309	7389.073952
2010	223.151936	110.992383	212.182745	-4.245698	4.513152	12.149656	100.023192	19.994962	35.677827	50901.271228	5622.614287	1145.384422	7391.668434
2011	208.777270	100.949695	197.916928	-1.679117	1.876978	11.916067	90.089353	18.305000	37.453698	47622.389425	5625.589844	1144.879458	7399.277038
2012	204.008200	97.466114	195.401431	-1.884284	1.878763	9.514990	88.859344	24.277369	31.278644	46534.558062	5630.210483	1138.686830	7401.385636
