# Annual region-averaged outputs (area*landfrac weighted)
# Case: 20260419_coastal_LA_ICB20TRCNPRDCTCBC_TAM
# Years: 1850 - 2014
#
# Variables:
#   GPP: gross primary production (annual sum, gC/m2/yr)
#   NPP: net primary production (annual sum, gC/m2/yr)
#   ER: total ecosystem respiration, autotrophic + heterotrophic (annual sum, gC/m2/yr)
#   NEE: net ecosystem exchange of carbon, includes fire, landuse, harvest, and hrv_xsmrpool flux, positive for source (annual sum, gC/m2/yr)
#   NBP: net biome production, includes fire, landuse, and harvest flux, positive for sink (annual sum, gC/m2/yr)
#   NEP: net ecosystem production, excludes fire, landuse, and harvest flux, positive for sink (annual sum, gC/m2/yr)
#   HR: total heterotrophic respiration (annual sum, gC/m2/yr)
#   FSH: sensible heat (annual mean, W/m^2)
#   EFLX_LH_TOT: total latent heat flux [+ to atm] (annual mean, W/m^2)
#   FPSN: photosynthesis (annual mean, umol/m2s)
#   TOTSOMC: total soil organic matter carbon (annual mean, gC/m^2)
#   TOTVEGC: total vegetation carbon, excluding cpool (annual mean, gC/m^2)
#   TOTECOSYSC: total ecosystem carbon, incl veg but excl cpool but excl product pools (annual mean, gC/m^2)
#
Year	GPP	NPP	ER	NEE	NBP	NEP	HR	FSH	EFLX_LH_TOT	FPSN	TOTSOMC	TOTVEGC	TOTECOSYSC
1925	302.915959	11577.617736	-4946.036526	-5243.991173	5717.425714	5723.061304	6328.665243	29.584817	70.164956	69095.557176	75193.635341	233055.463746	357774.303124
1926	317.767636	8610.473932	-1460.491598	-1771.543408	1899.521038	1907.155009	6832.214697	26.677239	74.695556	72483.245672	75210.828851	237216.772241	361226.274936
1927	310.529697	10673.943188	-3491.016292	-3796.564768	4080.840068	4086.490444	6872.397201	19.878756	84.243859	70832.261602	75369.724261	239440.445934	363491.314780
1928	310.147961	10460.320032	-3744.395788	-4049.578090	4358.624900	4364.253284	6405.776286	24.922064	80.335960	70745.187092	75427.149073	243643.664104	367681.965518
1929	301.781541	9853.954285	-2785.415560	-1856.978165	2062.676888	3293.553257	6766.757183	26.214990	77.792705	68836.794884	75474.436893	246472.928749	370662.193964
1930	292.302839	10821.895969	-4092.735830	-4376.737011	4703.825862	4712.777800	6436.857303	28.207249	73.768916	66674.689495	75572.394745	249155.902882	373677.616907
1931	295.389405	10309.718556	-3791.862483	-4082.357692	4399.210088	4404.747220	6222.466672	25.940221	74.041877	67378.739606	75631.417990	253173.018949	378258.914900
1932	300.955684	9071.940689	-1818.352745	-2114.461065	2271.967369	2277.449928	6952.632257	24.519203	78.544655	68648.415671	75671.170335	255881.374762	381165.611314
1933	303.075637	9270.109764	-2138.213499	-2439.632705	2656.740585	2658.988228	6828.820627	22.410078	76.696452	69131.979846	75776.562125	257665.317661	383099.120661
1934	298.407221	11830.014900	-4626.568846	-4919.237434	5313.430585	5319.838601	6905.038831	27.261947	79.262501	68067.107673	75887.607755	261200.179569	386972.965181
1935	296.336378	10518.165935	-3290.522588	-3582.185491	3868.308491	3873.584684	6931.306982	20.959638	81.331465	67594.745458	75978.687235	264995.798014	391082.052852
1936	287.080714	10991.402580	-4213.511630	-3767.131836	4111.188868	4853.018064	6490.810239	25.460833	74.939757	65483.515517	76049.179533	268086.311732	394776.906885
1937	280.099939	11032.019645	-4049.414778	-4322.972412	4655.864653	4663.005796	6702.504934	26.279499	77.930589	63891.190850	76103.124156	271518.166192	398940.028817
1938	278.144575	10824.532703	-3848.506310	-4122.220021	4466.559286	4471.554167	6697.881815	25.721579	74.995037	63445.169715	76174.028808	274551.222829	402877.913491
